row_id,protocol,milestone,date,difficulty,arm,blinded_lane,maj,min,note,silent,idiom,tests,docs,task_class
M8-3,v3,M8,2026-08-11,L,opus,1,1,2,5,0,5,3,5,NA
M8-14a,v3,M8,2026-08-11,M,fable,1,0,2,2,0,5,3,5,NA
PYSEL,v3,LIB,2026-08-11,M,fable,1,0,2,4,1,5,4,4,NA
ASM-2A,v3,ASM,2026-08-12,L,opus,1,1,4,3,0,4,5,4,structural?
LBRET,v3,LIB,2026-08-12,M,opus,1,1,2,2,0,4,5,4,numeric?
ASM-2B,v3,ASM,2026-08-12,M,opus,1,0,1,3,0,NA,NA,NA,structural
U4B,v4,LIB,2026-08-12,M,opus,1,0,2,3,0,5,5,4,numeric
U4A-DOOR,v4,LIB,2026-08-12,L,opus,1,0,2,NA,2,5,4,4,numeric
RETTAIL,v4,LIB,2026-08-12,M,opus,1,0,0,3,0,5,5,4,structural
M8-F67,v4,M8,2026-08-15,M,opus,1,0,2,4,0,5,5,4,numeric
M8-4,v3,M8,2026-08-15,M,opus,1,0,2,2,1,4,4,4,numeric
ASM-4,v3,ASM,2026-08-16,L,fable,1,0,2,3,0,5,4,4,structural
M9-D1,v4,M9,2026-08-16,M,opus,1,0,0,3,0,5,5,5,structural
G14,v4,LIB,2026-08-16,M,opus,1,0,2,3,1,5,4,4,structural
PYG5,v4,LIB,2026-08-16,M,fable,1,0,2,3,0,5,4,4,structural
RESPELL-PR1,v4,LIB,2026-08-16,L,fable,1,2,3,NA,1,4,4,4,numeric
ASM-UPD,v4,ASM,2026-08-16,M,opus,1,0,1,2,0,5,4,5,structural
M9-1,v4,M9,2026-08-16,L,opus,1,2,5,3,2,4,4,4,numeric
